Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed
2024-11-24 00:00:00,31,4,28,10,41,13
2024-11-24 01:00:00,30,4,32,11,44,13
2024-11-24 02:00:00,30,6,36,12,46,11
2024-11-24 03:00:00,30,6,39,13,49,11
2024-11-24 04:00:00,28,6,41,14,55,11
2024-11-24 05:00:00,27,9,5,15,59,11
2024-11-24 06:00:00,27,9,11,15,61,11
2024-11-24 07:00:00,25,9,14,16,67,11
2024-11-24 08:00:00,28,9,12,17,63,13
2024-11-24 09:00:00,33,9,22,19,57,15
2024-11-24 10:00:00,37,9,35,19,48,17
2024-11-24 11:00:00,38,35,57,18,44,17
2024-11-24 12:00:00,38,35,57,19,45,17
2024-11-24 13:00:00,38,35,69,20,48,16
2024-11-24 14:00:00,36,35,83,19,49,16
2024-11-24 15:00:00,34,35,88,19,53,15
2024-11-24 16:00:00,31,35,84,20,62,13
2024-11-24 17:00:00,29,69,80,20,68,11
2024-11-24 18:00:00,28,69,80,21,75,9
2024-11-24 19:00:00,27,69,81,20,74,9
2024-11-24 20:00:00,27,69,81,20,76,8
2024-11-24 21:00:00,26,69,81,20,78,7
2024-11-24 22:00:00,25,69,81,19,77,7
2024-11-24 23:00:00,24,65,81,19,80,6
2024-11-25 00:00:00,24,65,80,18,79,6
2024-11-25 01:00:00,23,65,79,18,82,6
2024-11-25 02:00:00,22,65,78,17,81,6
2024-11-25 03:00:00,20,65,77,16,83,6
2024-11-25 04:00:00,19,65,77,15,84,6
2024-11-25 05:00:00,18,21,69,14,85,6
2024-11-25 06:00:00,16,21,60,14,90,6
2024-11-25 07:00:00,16,21,51,13,88,6
2024-11-25 08:00:00,17,21,42,13,83,6
2024-11-25 09:00:00,22,21,40,12,66,7
2024-11-25 10:00:00,28,21,40,11,49,9
2024-11-25 11:00:00,33,9,30,10,38,10
2024-11-25 12:00:00,35,9,32,9,33,11
2024-11-25 13:00:00,36,9,35,9,32,11
2024-11-25 14:00:00,35,9,37,9,33,10
2024-11-25 15:00:00,33,9,41,9,36,9
2024-11-25 16:00:00,30,9,44,10,43,7
2024-11-25 17:00:00,27,14,48,10,49,6
2024-11-25 18:00:00,24,14,52,10,53,6
2024-11-25 19:00:00,23,14,57,10,58,6
2024-11-25 20:00:00,21,14,61,10,61,6
2024-11-25 21:00:00,21,14,64,10,62,6
2024-11-25 22:00:00,21,14,68,10,62,6
2024-11-25 23:00:00,21,39,71,11,65,6
