Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-24 00:00:00,57,0,9,44,62,16,0.0,1.0,1.0
2024-11-24 01:00:00,56,0,11,45,66,17,0.0,0.0,0.0
2024-11-24 02:00:00,56,0,14,46,69,18,0.0,1.0,1.0
2024-11-24 03:00:00,56,0,16,47,72,18,0.0,1.0,1.0
2024-11-24 04:00:00,56,0,12,48,74,18,0.0,1.0,1.0
2024-11-24 05:00:00,56,0,11,49,77,18,0.0,1.0,1.0
2024-11-24 06:00:00,54,0,8,50,86,18,0.0,2.0,2.0
2024-11-24 07:00:00,55,0,22,50,83,20,0.0,2.0,2.0
2024-11-24 08:00:00,56,0,34,52,86,22,0.0,1.0,1.0
2024-11-24 09:00:00,59,0,34,53,80,22,0.0,0.0,0.0
2024-11-24 10:00:00,62,0,27,54,75,22,0.0,2.0,-2.0
2024-11-24 11:00:00,66,0,33,54,65,22,0.0,2.0,-2.0
2024-11-24 12:00:00,68,0,32,54,61,22,0.0,3.0,-3.0
2024-11-24 13:00:00,71,0,23,54,55,22,0.0,2.0,-2.0
2024-11-24 14:00:00,72,0,22,54,53,22,0.0,2.0,-2.0
2024-11-24 15:00:00,72,0,17,54,53,20,0.0,3.0,-3.0
2024-11-24 16:00:00,73,0,20,52,48,18,0.0,2.0,-2.0
2024-11-24 17:00:00,71,0,35,52,51,16,0.0,1.0,-1.0
2024-11-24 18:00:00,68,0,20,52,57,10,0.0,1.0,1.0
2024-11-24 19:00:00,67,0,18,51,56,10,0.0,5.0,5.0
2024-11-24 20:00:00,64,0,16,51,63,10,0.0,2.0,2.0
2024-11-24 21:00:00,62,0,11,51,67,9,0.0,3.0,3.0
2024-11-24 22:00:00,61,0,8,50,67,8,0.0,5.0,5.0
2024-11-24 23:00:00,59,0,13,50,71,7,0.0,3.0,3.0
2024-11-25 00:00:00,57,0,18,49,75,7,0.0,3.0,3.0
2024-11-25 01:00:00,55,0,23,48,77,7,0.0,4.0,4.0
2024-11-25 02:00:00,53,0,27,47,80,8,0.0,4.0,4.0
2024-11-25 03:00:00,51,0,32,46,83,10,0.0,6.0,6.0
2024-11-25 04:00:00,49,0,37,45,86,14,0.0,6.0,6.0
2024-11-25 05:00:00,46,0,43,43,89,17,0.0,3.0,3.0
2024-11-25 06:00:00,44,0,48,42,93,20,0.0,2.0,2.0
2024-11-25 07:00:00,44,0,49,40,86,21,0.0,3.0,3.0
2024-11-25 08:00:00,45,0,49,39,79,21,0.0,5.0,5.0
2024-11-25 09:00:00,45,0,50,37,73,20,0.0,4.0,4.0
2024-11-25 10:00:00,46,0,42,36,66,18,0.0,5.0,5.0
2024-11-25 11:00:00,48,0,33,34,60,18,0.0,6.0,6.0
2024-11-25 12:00:00,49,0,25,33,54,17,0.0,6.0,6.0
2024-11-25 13:00:00,50,0,24,32,50,17,0.0,3.0,3.0
2024-11-25 14:00:00,51,0,23,32,47,17,0.0,4.0,4.0
2024-11-25 15:00:00,52,0,22,31,44,17,0.0,4.0,4.0
2024-11-25 16:00:00,51,0,24,31,46,15,0.0,3.0,3.0
2024-11-25 17:00:00,49,0,25,30,48,13,0.0,4.0,4.0
2024-11-25 18:00:00,48,0,27,30,49,10,0.0,5.0,5.0
2024-11-25 19:00:00,46,0,26,30,53,9,0.0,4.0,4.0
2024-11-25 20:00:00,44,0,25,29,56,8,0.0,3.0,3.0
2024-11-25 21:00:00,42,0,24,29,60,7,0.0,2.0,2.0
2024-11-25 22:00:00,41,0,25,29,62,6,0.0,2.0,2.0
2024-11-25 23:00:00,39,0,26,28,64,6,0.0,3.0,3.0
