Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure
2024-11-26 00:00:00,40,31,5.0,0.0,95,33,77,15,30.09
2024-11-26 01:00:00,38,30,4.0,0.0,82,31,75,13,30.1
2024-11-26 02:00:00,36,28,4.0,0.0,47,30,77,11,30.13
2024-11-26 03:00:00,34,25,4.0,0.0,64,28,79,11,30.15
2024-11-26 04:00:00,32,24,4.0,0.0,36,26,77,10,30.16
2024-11-26 05:00:00,30,22,3.0,0.0,14,24,77,9,30.18
2024-11-26 06:00:00,28,20,3.0,0.0,13,22,78,8,30.2
2024-11-26 07:00:00,27,19,2.0,0.0,12,21,76,8,30.21
2024-11-26 08:00:00,27,19,2.0,0.0,10,20,76,7,30.23
2024-11-26 09:00:00,28,20,1.0,0.0,5,20,69,8,30.24
2024-11-26 10:00:00,31,23,0.0,0.0,9,19,61,9,30.24
2024-11-26 11:00:00,34,27,0.0,0.0,10,19,53,9,30.23
2024-11-26 12:00:00,37,31,0.0,0.0,14,20,50,9,30.21
2024-11-26 13:00:00,39,33,0.0,0.0,15,21,49,8,30.19
2024-11-26 14:00:00,41,35,0.0,0.0,15,21,46,9,30.18
2024-11-26 15:00:00,42,36,0.0,0.0,26,22,44,9,30.17
2024-11-26 16:00:00,42,37,0.0,0.0,34,22,44,9,30.16
2024-11-26 17:00:00,41,36,0.0,0.0,52,23,49,6,30.16
2024-11-26 18:00:00,38,34,0.0,0.0,61,23,54,4,30.17
2024-11-26 19:00:00,35,35,1.0,0.0,90,24,64,3,30.16
2024-11-26 20:00:00,34,34,1.0,0.0,90,25,68,2,30.15
2024-11-26 21:00:00,33,33,1.0,0.0,98,25,71,2,30.15
2024-11-26 22:00:00,33,33,1.0,0.0,98,25,71,1,30.13
2024-11-26 23:00:00,33,33,1.0,0.0,99,25,72,2,30.13
2024-11-27 00:00:00,34,34,1.0,0.0,99,25,70,2,30.11
2024-11-27 01:00:00,34,34,2.0,0.0,95,25,70,0,30.1
2024-11-27 02:00:00,34,34,2.0,0.0,94,26,71,0,30.09
2024-11-27 03:00:00,35,35,2.0,0.0,99,26,71,1,30.09
2024-11-27 04:00:00,35,35,2.0,0.0,100,27,72,1,30.07
2024-11-27 05:00:00,35,35,2.0,0.0,98,27,71,2,30.06
2024-11-27 06:00:00,35,35,3.0,0.0,97,27,72,2,30.05
2024-11-27 07:00:00,36,33,2.0,0.0,97,27,72,3,30.03
2024-11-27 08:00:00,36,33,5.0,0.0,96,28,74,3,30.03
2024-11-27 09:00:00,37,35,8.0,0.0,94,30,73,3,30.02
2024-11-27 10:00:00,39,36,23.0,0.0,93,30,69,5,30.01
2024-11-27 11:00:00,41,37,15.0,0.0,98,30,65,6,30.0
2024-11-27 12:00:00,42,38,18.0,0.0,98,31,64,7,29.98
2024-11-27 13:00:00,43,40,24.0,0.0,98,33,66,6,29.94
2024-11-27 14:00:00,44,40,46.0,0.01,100,34,68,6,29.93
2024-11-27 15:00:00,43,40,51.0,0.01,100,35,74,5,29.9
2024-11-27 16:00:00,42,39,39.0,0.01,100,35,76,5,29.89
2024-11-27 17:00:00,42,38,41.0,0.01,100,35,77,5,29.88
2024-11-27 18:00:00,41,38,53.0,0.01,99,35,81,4,29.88
2024-11-27 19:00:00,38,36,54.0,0.02,99,36,92,3,29.88
2024-11-27 20:00:00,36,36,61.0,0.02,98,35,96,3,29.87
2024-11-27 21:00:00,35,35,59.0,0.01,97,35,99,2,29.87
2024-11-27 22:00:00,35,35,49.0,0.01,96,35,100,1,29.86
2024-11-27 23:00:00,35,35,46.0,0.01,95,35,100,1,29.86
