Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-26 00:00:00,49,0,49,72,1,40,0.0,5.0,-5.0
2024-11-26 01:00:00,49,5,49,73,1,40,0.0025000000000000005,4.0,-4.0
2024-11-26 02:00:00,51,0,51,66,1,40,0.0,2.0,-2.0
2024-11-26 03:00:00,51,0,51,71,1,42,0.0,2.0,-2.0
2024-11-26 04:00:00,52,5,52,76,1,44,0.0025000000000000005,1.0,-1.0
2024-11-26 05:00:00,52,5,52,82,1,47,0.0025000000000000005,1.0,-1.0
2024-11-26 06:00:00,53,25,53,83,1,48,0.0625,1.0,-1.0
2024-11-26 07:00:00,54,45,54,85,1,49,0.30250000000000005,2.0,-2.0
2024-11-26 08:00:00,54,75,54,87,2,50,0.0625,2.0,-2.0
2024-11-26 09:00:00,54,75,54,88,2,51,0.0625,1.0,-1.0
2024-11-26 10:00:00,54,45,54,88,2,51,0.30250000000000005,0.0,0.0
2024-11-26 11:00:00,54,25,54,86,3,50,0.0625,1.0,1.0
2024-11-26 12:00:00,55,25,55,82,3,49,0.0625,1.0,1.0
2024-11-26 13:00:00,55,25,55,77,4,48,0.0625,0.0,0.0
2024-11-26 14:00:00,56,25,56,71,4,47,0.0625,1.0,-1.0
2024-11-26 15:00:00,56,0,56,67,4,45,0.0,2.0,-2.0
2024-11-26 16:00:00,55,0,55,64,4,43,0.0,3.0,-3.0
2024-11-26 17:00:00,54,0,54,62,3,41,0.0,4.0,-4.0
2024-11-26 18:00:00,52,0,52,62,3,40,0.0,4.0,-4.0
2024-11-26 19:00:00,50,0,50,63,3,38,0.0,3.0,-3.0
2024-11-26 20:00:00,49,0,49,64,3,37,0.0,3.0,-3.0
2024-11-26 21:00:00,47,0,47,64,2,36,0.0,3.0,-3.0
2024-11-26 22:00:00,46,0,46,65,2,35,0.0,2.0,-2.0
2024-11-26 23:00:00,45,0,45,66,2,34,0.0,3.0,-3.0
2024-11-27 00:00:00,44,0,44,66,2,33,0.0,3.0,-3.0
2024-11-27 01:00:00,43,0,43,67,2,33,0.0,3.0,-3.0
2024-11-27 02:00:00,42,0,42,68,2,33,0.0,3.0,-3.0
2024-11-27 03:00:00,42,0,42,69,2,32,0.0,3.0,-3.0
2024-11-27 04:00:00,41,0,41,69,2,32,0.0,3.0,-3.0
2024-11-27 05:00:00,41,0,41,70,2,32,0.0,3.0,-3.0
2024-11-27 06:00:00,41,0,41,71,2,32,0.0,2.0,-2.0
2024-11-27 07:00:00,41,0,41,70,2,32,0.0,2.0,-2.0
2024-11-27 08:00:00,41,0,41,68,2,32,0.0,2.0,-2.0
2024-11-27 09:00:00,42,0,42,65,2,31,0.0,3.0,-3.0
2024-11-27 10:00:00,44,0,44,61,2,31,0.0,2.0,-2.0
2024-11-27 11:00:00,45,0,45,58,2,31,0.0,2.0,-2.0
2024-11-27 12:00:00,46,0,46,55,2,31,0.0,4.0,-4.0
2024-11-27 13:00:00,47,0,47,53,2,31,0.0,3.0,-3.0
2024-11-27 14:00:00,48,0,48,52,2,31,0.0,3.0,-3.0
2024-11-27 15:00:00,48,0,48,53,2,31,0.0,3.0,-3.0
2024-11-27 16:00:00,48,0,48,54,1,32,0.0,2.0,-2.0
2024-11-27 17:00:00,47,0,47,56,1,32,0.0,2.0,-2.0
2024-11-27 18:00:00,47,0,47,58,1,33,0.0,2.0,-2.0
2024-11-27 19:00:00,46,0,46,61,1,33,0.0,2.0,-2.0
2024-11-27 20:00:00,46,0,46,62,1,33,0.0,2.0,-2.0
2024-11-27 21:00:00,45,0,45,63,1,33,0.0,4.0,-4.0
2024-11-27 22:00:00,45,0,45,63,0,33,0.0,4.0,-4.0
2024-11-27 23:00:00,45,0,45,64,0,34,0.0,4.0,-4.0
