Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure
2024-11-25 00:00:00,28,20,46.0,0.1,90,22,78,8,30.15
2024-11-25 01:00:00,27,19,41.0,0.1,86,21,78,8,30.17
2024-11-25 02:00:00,27,19,24.0,0.0,90,20,77,7,30.19
2024-11-25 03:00:00,26,18,44.0,0.0,87,20,76,7,30.21
2024-11-25 04:00:00,25,17,40.0,0.0,86,19,76,7,30.24
2024-11-25 05:00:00,25,17,24.0,0.0,78,18,75,7,30.28
2024-11-25 06:00:00,24,16,12.0,0.0,79,17,73,6,30.31
2024-11-25 07:00:00,24,17,12.0,0.0,78,15,68,6,30.35
2024-11-25 08:00:00,24,17,11.0,0.0,71,15,67,6,30.36
2024-11-25 09:00:00,26,19,8.0,0.0,59,16,66,6,30.34
2024-11-25 10:00:00,29,21,2.0,0.0,47,15,55,8,30.29
2024-11-25 11:00:00,30,21,0.0,0.0,24,12,47,10,30.25
2024-11-25 12:00:00,31,22,0.0,0.0,26,11,44,10,30.21
2024-11-25 13:00:00,31,22,0.0,0.0,20,11,42,11,30.18
2024-11-25 14:00:00,32,23,0.0,0.0,15,11,42,12,30.17
2024-11-25 15:00:00,32,23,0.0,0.0,15,10,41,11,30.17
2024-11-25 16:00:00,30,23,2.0,0.0,23,12,46,8,30.2
2024-11-25 17:00:00,28,20,3.0,0.0,39,12,51,7,30.25
2024-11-25 18:00:00,27,20,3.0,0.0,52,12,52,7,30.26
2024-11-25 19:00:00,27,19,3.0,0.0,62,11,50,8,30.27
2024-11-25 20:00:00,28,20,3.0,0.0,61,11,48,7,30.26
2024-11-25 21:00:00,28,20,2.0,0.0,43,11,47,8,30.25
2024-11-25 22:00:00,28,20,2.0,0.0,44,12,50,8,30.25
2024-11-25 23:00:00,29,20,22.0,0.0,44,13,50,9,30.22
2024-11-26 00:00:00,29,21,14.0,0.0,49,14,53,8,30.21
2024-11-26 01:00:00,30,22,24.0,0.0,72,16,56,8,30.18
2024-11-26 02:00:00,30,23,38.0,0.1,92,18,59,8,30.16
2024-11-26 03:00:00,30,22,51.0,0.1,92,20,65,9,30.14
2024-11-26 04:00:00,31,23,59.0,0.2,92,21,67,8,30.1
2024-11-26 05:00:00,32,24,68.0,0.2,100,23,69,8,30.08
2024-11-26 06:00:00,32,25,77.0,0.2,100,24,73,8,30.06
2024-11-26 07:00:00,33,27,79.0,0.2,100,26,74,7,30.04
2024-11-26 08:00:00,33,26,75.0,0.2,100,26,76,8,30.01
2024-11-26 09:00:00,34,27,83.0,0.3,100,27,77,8,29.97
2024-11-26 10:00:00,34,28,83.0,0.1,100,28,77,8,29.93
2024-11-26 11:00:00,36,29,82.0,0.1,100,29,77,9,29.89
2024-11-26 12:00:00,36,29,86.0,0.1,100,31,80,9,29.85
2024-11-26 13:00:00,36,28,89.0,0.1,100,33,87,11,29.83
2024-11-26 14:00:00,36,29,84.0,0.1,100,33,87,11,29.82
2024-11-26 15:00:00,37,29,86.0,0.1,100,31,81,11,29.81
2024-11-26 16:00:00,35,27,85.0,0.1,100,33,89,11,29.81
2024-11-26 17:00:00,35,27,89.0,0.1,100,33,90,12,29.82
2024-11-26 18:00:00,35,27,90.0,0.1,100,32,89,11,29.81
2024-11-26 19:00:00,35,27,90.0,0.1,100,32,86,11,29.81
2024-11-26 20:00:00,35,28,90.0,0.1,100,32,86,11,29.81
2024-11-26 21:00:00,36,28,89.0,0.1,100,32,86,12,29.8
2024-11-26 22:00:00,36,28,93.0,0.1,100,32,84,11,29.8
2024-11-26 23:00:00,36,28,94.0,0.1,100,31,83,12,29.8
