Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-28 00:00:00,2,6,20,-1,78,5,0.0036,0.0,0.0
2024-11-28 01:00:00,1,6,19,-1,81,5,0.0036,0.0,0.0
2024-11-28 02:00:00,0,6,18,-3,77,5,0.0036,4.0,4.0
2024-11-28 03:00:00,0,6,14,-3,77,5,0.0036,4.0,4.0
2024-11-28 04:00:00,0,6,19,-2,83,5,0.0036,0.0,0.0
2024-11-28 05:00:00,0,1,24,-1,91,5,0.0001,2.0,2.0
2024-11-28 06:00:00,0,1,21,-1,91,6,0.0001,6.0,6.0
2024-11-28 07:00:00,1,1,17,-2,91,6,0.0001,5.0,5.0
2024-11-28 08:00:00,4,1,14,-1,87,6,0.0001,4.0,4.0
2024-11-28 09:00:00,10,1,13,1,69,7,0.0001,1.0,1.0
2024-11-28 10:00:00,18,1,12,3,51,7,0.0001,2.0,2.0
2024-11-28 11:00:00,25,0,11,5,42,8,0.0,7.0,7.0
2024-11-28 12:00:00,29,0,10,6,37,9,0.0,1.0,1.0
2024-11-28 13:00:00,31,0,9,6,35,9,0.0,5.0,5.0
2024-11-28 14:00:00,29,0,8,6,35,9,0.0,4.0,4.0
2024-11-28 15:00:00,25,0,11,6,38,8,0.0,1.0,1.0
2024-11-28 16:00:00,19,0,13,5,43,7,0.0,5.0,-5.0
2024-11-28 17:00:00,13,0,12,4,56,7,0.0,4.0,-4.0
2024-11-28 18:00:00,14,0,11,3,61,7,0.0,0.0,0.0
2024-11-28 19:00:00,12,0,9,1,60,6,0.0,7.0,7.0
2024-11-28 20:00:00,10,0,8,0,63,6,0.0,9.0,9.0
2024-11-28 21:00:00,8,0,8,-1,66,6,0.0,6.0,6.0
2024-11-28 22:00:00,7,0,8,-1,69,5,0.0,7.0,7.0
2024-11-28 23:00:00,6,1,8,-2,69,5,0.0001,4.0,4.0
2024-11-29 00:00:00,5,1,8,-3,69,5,0.0001,7.0,7.0
2024-11-29 01:00:00,5,1,8,-3,69,5,0.0001,5.0,5.0
2024-11-29 02:00:00,5,1,8,-4,65,5,0.0001,4.0,4.0
2024-11-29 03:00:00,5,1,10,-5,62,5,0.0001,3.0,3.0
2024-11-29 04:00:00,4,1,11,-5,65,5,0.0001,4.0,4.0
2024-11-29 05:00:00,4,0,13,-5,65,5,0.0,7.0,7.0
2024-11-29 06:00:00,3,0,11,-5,68,5,0.0,2.0,2.0
2024-11-29 07:00:00,3,0,10,-4,72,5,0.0,0.0,0.0
2024-11-29 08:00:00,5,0,8,-3,69,5,0.0,2.0,2.0
2024-11-29 09:00:00,12,0,10,0,58,6,0.0,0.0,0.0
2024-11-29 10:00:00,21,0,12,2,43,7,0.0,3.0,3.0
2024-11-29 11:00:00,28,0,14,5,37,11,0.0,1.0,-1.0
2024-11-29 12:00:00,31,0,13,6,34,13,0.0,1.0,-1.0
2024-11-29 13:00:00,32,0,12,7,34,13,0.0,0.0,0.0
2024-11-29 14:00:00,31,0,11,7,36,15,0.0,1.0,1.0
2024-11-29 15:00:00,28,0,10,6,38,17,0.0,2.0,-2.0
2024-11-29 16:00:00,24,0,10,5,43,17,0.0,5.0,-5.0
2024-11-29 17:00:00,20,0,9,4,49,16,0.0,2.0,-2.0
2024-11-29 18:00:00,17,0,9,3,53,16,0.0,3.0,-3.0
2024-11-29 19:00:00,15,0,8,3,58,16,0.0,3.0,-3.0
2024-11-29 20:00:00,14,0,8,2,58,16,0.0,3.0,-3.0
2024-11-29 21:00:00,13,0,8,1,58,16,0.0,0.0,0.0
2024-11-29 22:00:00,12,0,8,1,60,16,0.0,5.0,-5.0
2024-11-29 23:00:00,11,1,8,0,60,15,0.0001,8.0,-8.0
