Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-28 00:00:00,39,39,8.0,0.0,73,37,90,2,30.35,0.0064,1.0,1.0
2024-11-28 01:00:00,39,39,8.0,0.0,72,37,90,2,30.35,0.0064,4.0,4.0
2024-11-28 02:00:00,39,39,8.0,0.0,71,37,93,2,30.34,0.0064,3.0,3.0
2024-11-28 03:00:00,38,38,8.0,0.0,74,36,94,2,30.34,0.0064,1.0,1.0
2024-11-28 04:00:00,38,38,8.0,0.0,71,36,94,2,30.33,0.0064,1.0,1.0
2024-11-28 05:00:00,37,37,8.0,0.0,77,36,95,2,30.32,0.0064,1.0,1.0
2024-11-28 06:00:00,37,37,8.0,0.0,82,35,94,2,30.31,0.0064,2.0,2.0
2024-11-28 07:00:00,36,36,8.0,0.0,77,35,95,2,30.31,0.0064,0.0,0.0
2024-11-28 08:00:00,36,36,12.0,0.0,77,35,96,1,30.31,0.0144,0.0,0.0
2024-11-28 09:00:00,38,38,7.0,0.0,81,36,93,2,30.31,0.004900000000000001,1.0,1.0
2024-11-28 10:00:00,40,40,6.0,0.0,78,37,89,2,30.31,0.0036,3.0,3.0
2024-11-28 11:00:00,42,42,5.0,0.0,80,37,84,2,30.3,0.0025000000000000005,5.0,5.0
2024-11-28 12:00:00,43,43,6.0,0.0,81,37,81,2,30.28,0.0036,5.0,5.0
2024-11-28 13:00:00,44,44,5.0,0.0,74,37,77,2,30.27,0.0025000000000000005,5.0,5.0
2024-11-28 14:00:00,45,45,4.0,0.0,73,37,74,3,30.26,0.0016,6.0,6.0
2024-11-28 15:00:00,45,43,5.0,0.0,76,36,72,4,30.25,0.0025000000000000005,2.0,2.0
2024-11-28 16:00:00,44,44,6.0,0.0,72,36,74,3,30.24,0.0036,2.0,2.0
2024-11-28 17:00:00,43,43,6.0,0.0,80,36,76,3,30.24,0.0036,2.0,2.0
2024-11-28 18:00:00,42,42,11.0,0.0,80,36,79,1,30.24,0.0121,3.0,3.0
2024-11-28 19:00:00,41,41,13.0,0.0,87,36,81,2,30.24,0.016900000000000002,4.0,4.0
2024-11-28 20:00:00,41,41,8.0,0.0,90,36,84,1,30.24,0.0064,7.0,7.0
2024-11-28 21:00:00,40,40,8.0,0.0,93,36,84,1,30.25,0.0064,7.0,7.0
2024-11-28 22:00:00,40,40,8.0,0.0,89,36,86,1,30.26,0.0064,8.0,8.0
2024-11-28 23:00:00,39,39,8.0,0.0,94,36,87,2,30.26,0.0064,5.0,5.0
2024-11-29 00:00:00,39,39,8.0,0.0,90,36,88,2,30.27,0.0064,4.0,4.0
2024-11-29 01:00:00,39,39,9.0,0.0,93,36,88,3,30.27,0.0081,4.0,4.0
2024-11-29 02:00:00,39,39,10.0,0.0,93,36,87,3,30.27,0.010000000000000002,4.0,4.0
2024-11-29 03:00:00,38,37,8.0,0.0,90,36,89,3,30.27,0.0064,3.0,3.0
2024-11-29 04:00:00,38,36,8.0,0.0,88,36,90,3,30.28,0.0064,3.0,3.0
2024-11-29 05:00:00,38,36,8.0,0.0,85,35,89,3,30.28,0.0064,2.0,2.0
2024-11-29 06:00:00,38,38,8.0,0.0,83,35,89,3,30.29,0.0064,2.0,2.0
2024-11-29 07:00:00,38,36,8.0,0.0,80,35,89,3,30.3,0.0064,2.0,2.0
2024-11-29 08:00:00,38,38,8.0,0.0,83,35,89,3,30.3,0.0064,2.0,2.0
2024-11-29 09:00:00,39,39,8.0,0.0,81,36,87,3,30.32,0.0064,2.0,2.0
2024-11-29 10:00:00,40,38,7.0,0.0,86,36,85,3,30.33,0.004900000000000001,1.0,1.0
2024-11-29 11:00:00,42,40,7.0,0.0,80,36,81,3,30.32,0.004900000000000001,2.0,2.0
2024-11-29 12:00:00,43,41,6.0,0.0,81,36,78,4,30.31,0.0036,2.0,2.0
2024-11-29 13:00:00,44,42,5.0,0.0,68,37,75,3,30.3,0.0025000000000000005,3.0,3.0
2024-11-29 14:00:00,45,43,4.0,0.0,80,36,73,3,30.3,0.0016,4.0,4.0
2024-11-29 15:00:00,45,43,5.0,0.0,77,36,73,3,30.29,0.0025000000000000005,3.0,3.0
2024-11-29 16:00:00,44,44,6.0,0.0,86,37,76,3,30.29,0.0036,3.0,3.0
2024-11-29 17:00:00,43,43,6.0,0.0,78,37,78,3,30.29,0.0036,4.0,4.0
2024-11-29 18:00:00,42,42,6.0,0.0,68,36,80,2,30.29,0.0036,3.0,3.0
2024-11-29 19:00:00,42,42,6.0,0.0,50,36,80,2,30.29,0.0036,3.0,3.0
2024-11-29 20:00:00,41,41,7.0,0.0,51,36,81,1,30.28,0.004900000000000001,5.0,5.0
2024-11-29 21:00:00,40,40,7.0,0.0,60,35,83,1,30.28,0.004900000000000001,4.0,4.0
2024-11-29 22:00:00,39,39,7.0,0.0,76,35,86,1,30.28,0.004900000000000001,1.0,1.0
2024-11-29 23:00:00,39,39,8.0,0.0,80,35,87,1,30.27,0.0064,2.0,2.0
