Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed
2024-11-28 00:00:00,39,8,39,33,79,17
2024-11-28 01:00:00,38,8,43,31,75,16
2024-11-28 02:00:00,37,8,54,30,74,15
2024-11-28 03:00:00,37,8,61,28,70,15
2024-11-28 04:00:00,36,8,46,27,69,14
2024-11-28 05:00:00,34,8,58,25,68,14
2024-11-28 06:00:00,34,0,35,25,70,13
2024-11-28 07:00:00,33,0,12,24,70,13
2024-11-28 08:00:00,32,0,3,24,71,13
2024-11-28 09:00:00,35,0,11,24,64,13
2024-11-28 10:00:00,38,0,4,24,57,13
2024-11-28 11:00:00,40,0,6,24,52,13
2024-11-28 12:00:00,43,0,7,24,46,13
2024-11-28 13:00:00,44,0,6,24,45,13
2024-11-28 14:00:00,45,0,5,23,41,11
2024-11-28 15:00:00,46,0,4,23,40,10
2024-11-28 16:00:00,44,0,4,23,42,9
2024-11-28 17:00:00,43,0,3,24,46,7
2024-11-28 18:00:00,42,0,3,24,48,6
2024-11-28 19:00:00,40,0,3,24,53,5
2024-11-28 20:00:00,37,0,3,25,61,3
2024-11-28 21:00:00,35,0,3,25,66,3
2024-11-28 22:00:00,34,0,3,25,68,3
2024-11-28 23:00:00,34,0,3,26,73,3
2024-11-29 00:00:00,33,0,3,26,75,3
2024-11-29 01:00:00,32,0,4,26,79,3
2024-11-29 02:00:00,31,0,4,25,79,2
2024-11-29 03:00:00,29,0,5,25,83,2
2024-11-29 04:00:00,29,0,5,25,85,2
2024-11-29 05:00:00,28,0,5,25,87,2
2024-11-29 06:00:00,28,0,5,25,89,2
2024-11-29 07:00:00,30,0,5,26,84,2
2024-11-29 08:00:00,33,0,4,27,80,3
2024-11-29 09:00:00,35,0,4,27,72,3
2024-11-29 10:00:00,38,0,3,26,61,3
2024-11-29 11:00:00,42,0,3,25,51,5
2024-11-29 12:00:00,45,0,2,24,43,5
2024-11-29 13:00:00,47,0,2,24,41,5
2024-11-29 14:00:00,48,0,1,24,38,6
2024-11-29 15:00:00,50,0,1,24,36,6
2024-11-29 16:00:00,48,0,1,24,39,6
2024-11-29 17:00:00,46,0,2,25,44,6
2024-11-29 18:00:00,44,0,2,25,48,6
2024-11-29 19:00:00,42,0,5,25,51,6
2024-11-29 20:00:00,40,0,7,26,57,6
2024-11-29 21:00:00,38,0,10,26,62,6
2024-11-29 22:00:00,37,0,12,26,63,6
2024-11-29 23:00:00,37,0,15,26,65,6
