Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-28 00:00:00,13,3,7.0,0.0,45,2,62,6,30.46,0.004900000000000001,11.0,11.0
2024-11-28 01:00:00,12,2,7.0,0.0,41,2,62,7,30.46,0.004900000000000001,11.0,11.0
2024-11-28 02:00:00,13,3,7.0,0.0,40,2,61,6,30.47,0.004900000000000001,17.0,17.0
2024-11-28 03:00:00,12,1,7.0,0.0,34,1,63,7,30.48,0.004900000000000001,16.0,16.0
2024-11-28 04:00:00,12,1,7.0,0.0,24,1,60,7,30.48,0.004900000000000001,12.0,12.0
2024-11-28 05:00:00,11,1,7.0,0.0,21,0,60,6,30.49,0.004900000000000001,13.0,13.0
2024-11-28 06:00:00,11,0,6.0,0.0,21,0,61,7,30.5,0.0036,17.0,17.0
2024-11-28 07:00:00,12,2,4.0,0.0,15,-1,56,6,30.5,0.0016,16.0,16.0
2024-11-28 08:00:00,13,3,2.0,0.0,13,1,57,7,30.48,0.0004,13.0,13.0
2024-11-28 09:00:00,18,11,1.0,0.0,11,4,52,5,30.41,0.0001,9.0,9.0
2024-11-28 10:00:00,20,13,1.0,0.0,8,4,50,5,30.35,0.0001,4.0,4.0
2024-11-28 11:00:00,23,16,0.0,0.0,8,4,44,5,30.28,0.0,5.0,5.0
2024-11-28 12:00:00,25,18,0.0,0.0,0,4,39,6,30.21,0.0,3.0,-3.0
2024-11-28 13:00:00,26,18,0.0,0.0,0,3,36,8,30.18,0.0,0.0,0.0
2024-11-28 14:00:00,27,17,0.0,0.0,0,3,35,10,30.17,0.0,2.0,2.0
2024-11-28 15:00:00,26,17,0.0,0.0,2,2,35,9,30.2,0.0,2.0,2.0
2024-11-28 16:00:00,24,15,3.0,0.0,5,3,40,8,30.25,0.0009,0.0,0.0
2024-11-28 17:00:00,20,12,5.0,0.0,11,2,43,6,30.32,0.0025000000000000005,3.0,3.0
2024-11-28 18:00:00,18,9,5.0,0.0,12,2,50,7,30.38,0.0025000000000000005,4.0,4.0
2024-11-28 19:00:00,18,9,4.0,0.0,12,3,51,6,30.41,0.0016,13.0,13.0
2024-11-28 20:00:00,18,9,4.0,0.0,12,3,52,6,30.45,0.0016,17.0,17.0
2024-11-28 21:00:00,17,7,4.0,0.0,11,2,51,7,30.47,0.0016,15.0,15.0
2024-11-28 22:00:00,16,7,4.0,0.0,12,1,51,6,30.49,0.0016,16.0,16.0
2024-11-28 23:00:00,16,7,4.0,0.0,12,-1,47,7,30.49,0.0016,14.0,14.0
2024-11-29 00:00:00,17,8,3.0,0.0,0,-1,44,7,30.47,0.0009,19.0,19.0
2024-11-29 01:00:00,17,7,4.0,0.0,0,-2,42,7,30.47,0.0016,17.0,17.0
2024-11-29 02:00:00,18,8,3.0,0.0,0,-2,40,7,30.47,0.0009,17.0,17.0
2024-11-29 03:00:00,18,8,3.0,0.0,1,-3,38,8,30.46,0.0009,16.0,16.0
2024-11-29 04:00:00,18,8,4.0,0.0,6,-5,36,7,30.44,0.0016,18.0,18.0
2024-11-29 05:00:00,18,9,4.0,0.0,7,-5,35,7,30.43,0.0016,21.0,21.0
2024-11-29 06:00:00,18,8,3.0,0.0,14,-6,33,7,30.44,0.0009,17.0,17.0
2024-11-29 07:00:00,19,10,2.0,0.0,7,-8,30,7,30.43,0.0004,16.0,16.0
2024-11-29 08:00:00,20,11,1.0,0.0,11,-6,31,7,30.4,0.0001,17.0,17.0
2024-11-29 09:00:00,25,17,1.0,0.0,7,1,36,6,30.34,0.0001,13.0,13.0
2024-11-29 10:00:00,26,18,0.0,0.0,10,3,36,7,30.27,0.0,8.0,8.0
2024-11-29 11:00:00,29,21,0.0,0.0,11,3,33,8,30.2,0.0,0.0,0.0
2024-11-29 12:00:00,30,23,0.0,0.0,2,2,29,8,30.13,0.0,2.0,-2.0
2024-11-29 13:00:00,32,23,0.0,0.0,1,3,29,11,30.09,0.0,0.0,0.0
2024-11-29 14:00:00,31,21,0.0,0.0,1,4,31,13,30.08,0.0,1.0,1.0
2024-11-29 15:00:00,31,20,0.0,0.0,2,5,33,14,30.09,0.0,1.0,1.0
2024-11-29 16:00:00,28,17,1.0,0.0,1,5,38,12,30.14,0.0001,1.0,-1.0
2024-11-29 17:00:00,24,13,3.0,0.0,1,3,41,11,30.22,0.0009,2.0,2.0
2024-11-29 18:00:00,22,11,3.0,0.0,2,3,44,11,30.29,0.0009,2.0,2.0
2024-11-29 19:00:00,21,9,2.0,0.0,2,3,44,13,30.32,0.0004,3.0,3.0
2024-11-29 20:00:00,22,9,2.0,0.0,4,3,43,14,30.35,0.0004,5.0,5.0
2024-11-29 21:00:00,22,8,2.0,0.0,7,2,43,15,30.36,0.0004,9.0,9.0
2024-11-29 22:00:00,22,8,2.0,0.0,10,2,43,15,30.39,0.0004,5.0,5.0
2024-11-29 23:00:00,22,8,2.0,0.0,11,2,42,17,30.4,0.0004,3.0,3.0
