Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-27 00:00:00,46,0,40,70,13,36,0.0,2.0,-2.0
2024-11-27 01:00:00,45,0,39,72,14,37,0.0,2.299999999999997,-2.299999999999997
2024-11-27 02:00:00,45,0,38,75,14,37,0.0,2.0,-2.0
2024-11-27 03:00:00,44,0,38,78,13,38,0.0,2.3999999999999986,-2.3999999999999986
2024-11-27 04:00:00,44,0,38,80,13,38,0.0,2.0,-2.0
2024-11-27 05:00:00,44,0,38,82,12,39,0.0,3.0,-3.0
2024-11-27 06:00:00,45,0,39,84,11,40,0.0,1.3999999999999986,-1.3999999999999986
2024-11-27 07:00:00,46,0,40,86,10,42,0.0,4.0,-4.0
2024-11-27 08:00:00,48,0,44,81,9,43,0.0,5.600000000000001,-5.600000000000001
2024-11-27 09:00:00,53,0,53,74,9,44,0.0,4.200000000000003,-4.200000000000003
2024-11-27 10:00:00,56,0,56,66,10,46,0.0,1.2000000000000028,-1.2000000000000028
2024-11-27 11:00:00,59,0,59,62,11,46,0.0,1.7999999999999972,1.7999999999999972
2024-11-27 12:00:00,60,0,60,60,12,46,0.0,4.600000000000001,4.600000000000001
2024-11-27 13:00:00,61,0,61,58,13,46,0.0,7.399999999999999,7.399999999999999
2024-11-27 14:00:00,60,0,60,59,14,45,0.0,6.399999999999999,6.399999999999999
2024-11-27 15:00:00,58,0,58,59,16,44,0.0,4.399999999999999,4.399999999999999
2024-11-27 16:00:00,56,0,56,59,16,42,0.0,4.200000000000003,4.200000000000003
2024-11-27 17:00:00,55,0,55,59,15,41,0.0,8.600000000000001,8.600000000000001
2024-11-27 18:00:00,53,0,53,61,15,40,0.0,8.399999999999999,8.399999999999999
2024-11-27 19:00:00,51,0,51,62,15,39,0.0,9.0,9.0
2024-11-27 20:00:00,49,0,43,65,16,38,0.0,9.399999999999999,9.399999999999999
2024-11-27 21:00:00,47,0,40,67,17,37,0.0,9.399999999999999,9.399999999999999
2024-11-27 22:00:00,45,0,38,68,17,35,0.0,7.799999999999997,7.799999999999997
2024-11-27 23:00:00,44,0,36,69,17,34,0.0,7.5,7.5
2024-11-28 00:00:00,42,0,34,69,17,33,0.0,7.700000000000003,7.700000000000003
2024-11-28 01:00:00,40,0,32,69,16,31,0.0,6.600000000000001,6.600000000000001
2024-11-28 02:00:00,39,0,31,68,15,29,0.0,7.0,7.0
2024-11-28 03:00:00,38,0,29,67,15,28,0.0,6.699999999999999,6.699999999999999
2024-11-28 04:00:00,37,0,28,67,14,27,0.0,6.800000000000001,6.800000000000001
2024-11-28 05:00:00,36,0,27,66,13,26,0.0,2.200000000000003,2.200000000000003
2024-11-28 06:00:00,35,0,27,68,12,26,0.0,2.3999999999999986,-2.3999999999999986
2024-11-28 07:00:00,35,0,27,68,12,26,0.0,4.200000000000003,-4.200000000000003
2024-11-28 08:00:00,37,0,29,64,12,26,0.0,5.799999999999997,-5.799999999999997
2024-11-28 09:00:00,39,0,32,59,13,26,0.0,5.600000000000001,-5.600000000000001
2024-11-28 10:00:00,42,0,35,53,13,27,0.0,4.399999999999999,-4.399999999999999
2024-11-28 11:00:00,44,0,37,51,13,27,0.0,2.3999999999999986,-2.3999999999999986
2024-11-28 12:00:00,45,0,39,48,12,27,0.0,0.3999999999999986,0.3999999999999986
2024-11-28 13:00:00,46,0,41,46,12,27,0.0,12.200000000000003,12.200000000000003
2024-11-28 14:00:00,47,0,42,44,12,26,0.0,15.0,15.0
2024-11-28 15:00:00,47,0,42,44,12,26,0.0,14.0,14.0
2024-11-28 16:00:00,46,0,41,45,10,26,0.0,17.2,17.2
2024-11-28 17:00:00,44,0,40,48,8,26,0.0,14.5,14.5
2024-11-28 18:00:00,42,0,38,53,6,26,0.0,12.0,12.0
2024-11-28 19:00:00,40,0,36,58,6,26,0.0,9.600000000000001,9.600000000000001
2024-11-28 20:00:00,38,0,34,62,5,27,0.0,10.0,10.0
2024-11-28 21:00:00,37,0,33,66,5,27,0.0,9.7,9.7
2024-11-28 22:00:00,35,0,31,70,5,27,0.0,8.0,8.0
2024-11-28 23:00:00,34,0,30,73,4,26,0.0,7.399999999999999,7.399999999999999
