Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-27 00:00:00,34,34,2.0,0.0,93,26,73,1,30.11,0.0004,0.0,0.0
2024-11-27 01:00:00,35,35,2.0,0.0,97,27,70,1,30.09,0.0004,0.0,0.0
2024-11-27 02:00:00,35,35,2.0,0.0,98,27,72,1,30.08,0.0004,1.0,1.0
2024-11-27 03:00:00,35,35,3.0,0.0,99,28,73,2,30.07,0.0009,2.0,2.0
2024-11-27 04:00:00,35,35,3.0,0.0,98,28,73,2,30.06,0.0009,1.0,1.0
2024-11-27 05:00:00,36,36,3.0,0.0,98,27,71,2,30.04,0.0009,1.0,1.0
2024-11-27 06:00:00,36,36,3.0,0.0,99,28,72,2,30.03,0.0009,2.0,2.0
2024-11-27 07:00:00,36,34,3.0,0.0,98,27,70,3,30.02,0.0009,1.0,1.0
2024-11-27 08:00:00,36,33,2.0,0.0,98,28,70,4,30.01,0.0004,1.0,1.0
2024-11-27 09:00:00,38,34,10.0,0.0,95,28,69,5,30.01,0.010000000000000002,1.0,1.0
2024-11-27 10:00:00,39,36,13.0,0.0,94,29,67,4,30.0,0.016900000000000002,0.0,0.0
2024-11-27 11:00:00,41,37,15.0,0.0,98,29,63,6,29.98,0.0225,1.0,-1.0
2024-11-27 12:00:00,43,40,15.0,0.0,90,31,60,6,29.95,0.0225,1.0,-1.0
2024-11-27 13:00:00,45,42,15.0,0.0,99,32,61,6,29.92,0.0225,1.0,1.0
2024-11-27 14:00:00,45,42,31.0,0.01,94,33,63,5,29.9,0.0961,1.0,1.0
2024-11-27 15:00:00,45,43,24.0,0.0,90,34,66,4,29.89,0.5776,1.0,1.0
2024-11-27 16:00:00,45,42,39.0,0.01,99,35,67,5,29.88,0.3721,6.0,6.0
2024-11-27 17:00:00,44,41,43.0,0.01,99,35,72,4,29.87,0.3249000000000001,6.0,6.0
2024-11-27 18:00:00,42,41,40.0,0.01,99,36,77,3,29.87,0.36,4.0,4.0
2024-11-27 19:00:00,39,39,39.0,0.01,99,35,86,3,29.88,0.3721,1.0,1.0
2024-11-27 20:00:00,38,38,42.0,0.01,99,36,90,2,29.87,0.3364000000000001,0.0,0.0
2024-11-27 21:00:00,37,37,48.0,0.01,100,36,95,3,29.86,0.27040000000000003,1.0,-1.0
2024-11-27 22:00:00,37,37,42.0,0.01,100,36,95,2,29.86,0.3364000000000001,0.0,0.0
2024-11-27 23:00:00,37,37,31.0,0.0,100,35,95,2,29.85,0.4760999999999999,0.0,0.0
2024-11-28 00:00:00,36,36,24.0,0.0,100,35,95,1,29.85,0.0576,0.0,0.0
2024-11-28 01:00:00,37,37,21.0,0.0,100,35,92,2,29.84,0.04409999999999999,0.0,0.0
2024-11-28 02:00:00,36,36,18.0,0.0,98,34,92,1,29.84,0.0324,1.0,-1.0
2024-11-28 03:00:00,37,34,13.0,0.0,94,34,90,3,29.85,0.016900000000000002,1.0,1.0
2024-11-28 04:00:00,37,34,8.0,0.0,91,34,89,4,29.85,0.0064,3.0,3.0
2024-11-28 05:00:00,36,33,8.0,0.0,69,33,89,4,29.87,0.0064,1.0,1.0
2024-11-28 06:00:00,35,32,7.0,0.0,63,33,90,4,29.89,0.004900000000000001,1.0,-1.0
2024-11-28 07:00:00,34,30,8.0,0.0,67,31,89,5,29.91,0.0064,3.0,-3.0
2024-11-28 08:00:00,34,29,8.0,0.0,76,31,90,6,29.94,0.0064,2.0,-2.0
2024-11-28 09:00:00,35,30,8.0,0.0,84,32,86,6,29.97,0.0064,0.0,0.0
2024-11-28 10:00:00,36,31,4.0,0.0,66,30,79,7,29.98,0.0016,2.0,2.0
2024-11-28 11:00:00,38,32,4.0,0.0,83,30,73,8,30.0,0.0016,5.0,5.0
2024-11-28 12:00:00,39,33,2.0,0.0,78,30,68,9,30.01,0.0004,5.0,5.0
2024-11-28 13:00:00,39,34,2.0,0.0,77,29,66,9,30.01,0.0004,6.0,6.0
2024-11-28 14:00:00,40,34,1.0,0.0,82,28,62,10,30.01,0.0001,7.0,7.0
2024-11-28 15:00:00,40,34,1.0,0.0,60,26,57,9,30.02,0.0001,6.0,6.0
2024-11-28 16:00:00,39,33,1.0,0.0,29,24,53,10,30.03,0.0001,7.0,7.0
2024-11-28 17:00:00,38,32,0.0,0.0,23,23,56,9,30.05,0.0,8.0,8.0
2024-11-28 18:00:00,35,29,1.0,0.0,37,23,62,8,30.07,0.0001,6.0,6.0
2024-11-28 19:00:00,33,26,1.0,0.0,53,24,69,7,30.09,0.0001,4.0,4.0
2024-11-28 20:00:00,32,25,2.0,0.0,54,23,70,7,30.11,0.0004,3.0,3.0
2024-11-28 21:00:00,30,24,2.0,0.0,53,23,73,7,30.11,0.0004,2.0,2.0
2024-11-28 22:00:00,30,23,2.0,0.0,54,22,73,7,30.12,0.0004,2.0,2.0
2024-11-28 23:00:00,29,22,2.0,0.0,50,21,73,7,30.12,0.0004,0.0,0.0
