Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-27 00:00:00,43,10,43,84,0,39,0.010000000000000002,0.0,0.0
2024-11-27 01:00:00,43,5,43,84,0,39,0.0025000000000000005,1.0,1.0
2024-11-27 02:00:00,43,5,43,85,0,39,0.9025,1.0,1.0
2024-11-27 03:00:00,43,5,43,85,0,38,0.9025,1.0,1.0
2024-11-27 04:00:00,42,5,42,86,0,38,0.0025000000000000005,1.0,1.0
2024-11-27 05:00:00,42,5,42,87,0,38,0.0025000000000000005,1.0,1.0
2024-11-27 06:00:00,42,0,42,87,0,38,0.0,0.0,0.0
2024-11-27 07:00:00,42,5,42,88,0,38,0.0025000000000000005,0.0,0.0
2024-11-27 08:00:00,42,5,42,88,0,38,0.0025000000000000005,0.0,0.0
2024-11-27 09:00:00,42,5,42,87,0,38,0.0025000000000000005,0.0,0.0
2024-11-27 10:00:00,42,5,42,85,0,38,0.0025000000000000005,0.0,0.0
2024-11-27 11:00:00,42,5,42,84,0,37,0.0025000000000000005,1.0,-1.0
2024-11-27 12:00:00,42,5,42,82,0,37,0.0025000000000000005,0.0,0.0
2024-11-27 13:00:00,42,0,42,80,0,37,0.0,2.0,-2.0
2024-11-27 14:00:00,42,0,42,79,0,37,0.0,3.0,-3.0
2024-11-27 15:00:00,43,0,43,78,0,36,0.0,1.0,-1.0
2024-11-27 16:00:00,43,0,43,77,0,36,0.0,0.0,0.0
2024-11-27 17:00:00,43,0,43,76,0,36,0.0,1.0,1.0
2024-11-27 18:00:00,43,0,43,77,0,36,0.0,2.0,2.0
2024-11-27 19:00:00,42,0,42,78,0,36,0.0,1.0,1.0
2024-11-27 20:00:00,42,0,42,78,0,35,0.0,3.0,3.0
2024-11-27 21:00:00,41,0,41,79,0,35,0.0,0.0,0.0
2024-11-27 22:00:00,41,0,41,78,0,35,0.0,2.0,2.0
2024-11-27 23:00:00,40,0,40,79,0,34,0.0,0.0,0.0
2024-11-28 00:00:00,40,0,40,79,0,34,0.0,2.0,2.0
2024-11-28 01:00:00,40,0,40,79,0,34,0.0,5.0,5.0
2024-11-28 02:00:00,39,0,39,80,0,34,0.0,3.0,3.0
2024-11-28 03:00:00,39,0,39,81,0,34,0.0,2.0,2.0
2024-11-28 04:00:00,38,0,38,82,0,33,0.0,1.0,1.0
2024-11-28 05:00:00,38,0,38,83,0,33,0.0,2.0,2.0
2024-11-28 06:00:00,38,0,38,83,0,33,0.0,3.0,3.0
2024-11-28 07:00:00,38,0,38,83,0,33,0.0,2.0,2.0
2024-11-28 08:00:00,38,0,38,82,0,33,0.0,2.0,2.0
2024-11-28 09:00:00,38,0,38,81,0,33,0.0,1.0,1.0
2024-11-28 10:00:00,39,0,39,80,0,33,0.0,2.0,2.0
2024-11-28 11:00:00,40,0,40,78,0,33,0.0,3.0,3.0
2024-11-28 12:00:00,40,0,40,76,0,34,0.0,2.0,2.0
2024-11-28 13:00:00,41,0,41,75,0,34,0.0,2.0,2.0
2024-11-28 14:00:00,42,0,42,74,0,34,0.0,3.0,3.0
2024-11-28 15:00:00,42,0,42,75,0,34,0.0,1.0,-1.0
2024-11-28 16:00:00,42,0,42,76,0,34,0.0,0.0,0.0
2024-11-28 17:00:00,41,0,41,77,0,35,0.0,0.0,0.0
2024-11-28 18:00:00,41,0,41,78,0,35,0.0,2.0,2.0
2024-11-28 19:00:00,40,0,40,80,0,35,0.0,3.0,3.0
2024-11-28 20:00:00,40,0,40,81,0,34,0.0,6.0,6.0
2024-11-28 21:00:00,39,0,39,82,0,34,0.0,6.0,6.0
2024-11-28 22:00:00,39,0,39,82,0,34,0.0,7.0,7.0
2024-11-28 23:00:00,38,0,38,83,0,34,0.0,4.0,4.0
